Community Area Number,COMMUNITY AREA NAME,PERCENT HOUSEHOLDS BELOW POVERTY,PERCENT AGED 25+ WITHOUT HIGH SCHOOL DIPLOMA,PER CAPITA INCOME ,HARDSHIP INDEX
1,Rogers Park,23.6,18.2,23939,39
2,West Ridge,17.2,20.8,23040,46
3,Uptown,24,11.8,35787,20
4,Lincoln Square,10.9,13.4,37524,17
5,North Center,7.5,4.5,57123,6
6,Lake View,11.4,2.6,60058,5
7,Lincoln Park,12.3,3.6,71551,2
8,Near North Side,12.9,2.5,88669,1
9,Edison Park,3.3,7.4,40959,8
10,Norwood Park,5.4,11.5,32875,21
11,Jefferson Park,8.6,13.4,27751,25
12,Forest Glen,7.5,4.9,44164,11
13,North Park,13.2,14.4,26576,33
14,Albany Park,19.2,32.9,21323,53
15,Portage Park,11.6,19.3,24336,35
16,Irving Park,13.1,22.4,27249,34
17,Dunning,10.6,16.2,26282,28
18,Montclaire,15.3,23.5,22014,50
19,Belmont Cragin,18.7,37.3,15461,70
20,Hermosa,20.5,41.6,15089,71
21,Avondale,15.3,24.7,20039,42
22,Logan Square,16.8,14.8,31908,23
23,Humboldt park,33.9,35.4,13781,85
24,West Town,14.7,12.9,43198,10
25,Austin,28.6,24.4,15957,73
26,West Garfield Park,41.7,24.5,10934,92
27,East Garfield Park,42.4,21.3,12961,83
28,Near West Side,20.6,9.6,44689,15
29,North Lawndale,43.1,27.6,12034,87
30,South Lawndale,30.7,54.8,10402,96
31,Lower West Side,25.8,40.7,16444,76
32,Loop,14.7,3.1,65526,3
33,Near South Side,13.8,7.4,59077,7
34,Armour Square,40.1,34.5,16148,82
35,Douglas,29.6,14.3,23791,47
36,Oakland,39.7,18.4,19252,78
37,Fuller Park,51.2,26.6,10432,97
38,Grand Boulevard,29.3,15.9,23472,57
39,Kenwood,21.7,11.3,35911,26
40,Washington Park,42.1,25.4,13785,88
41,Hyde Park,18.4,4.3,39056,14
42,Woodlawn,30.7,16.5,18672,58
43,South Shore,31.1,14,19398,55
44,Chatham,27.8,14.5,18881,60
45,Avalon Park,17.2,10.6,24454,41
46,South Chicago,29.8,26.6,16579,75
47,Burnside,33,19.3,12515,79
48,Calumet Heights,11.5,11,28887,38
49,Roseland,19.8,16.9,17949,52
50,Pullman,21.6,13.1,20588,51
51,South Deering,29.2,21,14685,65
52,East Side,19.2,31.9,17104,64
53,West Pullman,25.9,20.5,16563,62
54,Riverdale,56.5,27.5,8201,98
55,Hegewisch,17.1,19.2,22677,44
56,Garfield Ridge,8.8,19.3,26353,32
57,Archer Heights,14.1,35.9,16134,67
58,Brighton Park,23.6,45.1,13089,84
59,McKinley Park,18.7,32.9,16954,61
60,Bridgeport,18.9,22.2,22694,43
61,New City,29,41.5,12765,91
62,West Elsdon,15.6,37,15754,69
63,Gage Park,23.4,51.5,12171,93
64,Clearing,8.9,18.8,25113,29
65,West Lawn,14.9,33.6,16907,56
66,Chicago Lawn,27.9,31.2,13231,80
67,West Englewood,34.4,26.3,11317,89
68,Englewood,46.6,28.5,11888,94
69,Greater Grand Crossing,29.6,16.5,17285,66
70,Ashburn,10.4,17.7,23482,37
71,Auburn Gresham,27.6,18.5,15528,74
72,Beverly,5.1,3.7,39523,12
73,Washington Height,16.9,13.7,19713,48
74,Mount Greenwood,3.4,4.3,34381,16
75,Morgan Park,13.2,10.8,27149,30
76,O'Hare,15.4,10.9,25828,24
77,Edgewater,18.2,9.7,33385,19
,CHICAGO,19.7,19.5,28202,
